CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;ID02;ID03;ID03_01;ID03_02;ID03_03;ID04;ID04_01;ID04_02;ID04_03;ID06;ID06_01;ID06_02;ID06_03;ID06_04;ID06_05;ID06_06;ID06_07;ID06_07a;ID05_01;SA01_01;SA02_01;SA05_01;CS01_01;CS02_01;CS03_01;CS04_01;ES01_01;FI01_01;TM04;ST01;EV02;EV02_01;EV02_02;EV02_03;EV02_04;EV02_05;EX01_01;MD01_01;MY01_01;SS01_01;SS02_01;SD01_01;AD01;AD01_01;AC01_01;AR01_01;AT01_01;MF01;MF01_13;MF03;MF02;MF02_01;MF02_02;MF02_03;MF02_04;MF02_05;MF02_06;MF02_07;MF02_08;MF02_09;MF02_14;MF02_10;MF02_11;MF02_12;MF02_13;MF02_13a;MF02_15;RM01;RM01_01;RM01_02;RM01_03;RM01_04;RM01_05;RM01_06;RM01_07;RM01_08;RM01_09;RM01_10;RM01_11;RM01_12;RM01_12a;TB01;SL01_01;SL02_01;SB01_01;PO01_01;PO02_01;WS01_01;PS01;PH01;PH01_01;PH01_08;PH01_09;PH01_10;PH01_11;PH01_13;PH01_15;PH01_19;PH01_23;PH01_24;PH01_27;PR01_01;SE01_01;SE02;SE02_01;SE02_02;HS01_01;RE01_01;PT01_01;SF01;IB01_01;AU01_01;TE01;TE01_01;TE01_02;TE01_03;TE01_04;TE01_08;TE01_09;CT02_01;CT02_02;GR01_01;AV01_01;PQ01_01;II01_01;SV01_01;CO01;IL01_01;BC02;CB01_01;IM01_01;US01;US01_01;US01_02;US01_03;US01_04;TIME001;TIME002;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
274;;;base;interview;05.03.2020 11:20;-9;2;2;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;4;2;1;1;2;1;1;1;1;1;1;1;1;2;-9;;B_Apr_Wash_63;2;17.04.2019;7;;13;4;2;2;1;1;1;1;2;1;1;1;2;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;B_Apr_Wash_61;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;211;372;583;;20.03.2020 00:20;1;0;2;2;17;3;0.57;0
275;;;base;interview;05.03.2020 11:29;-9;0;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;2;1;1;1;4;2;1;1;1;1;2;1;2;2;1;2;1;1;-9;;B_Apr_Wash_64;2;17.04.2019;9;;14;7;2;2;2;1;1;1;1;1;2;1;2;1;1;2;PTSD, Depression;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;1;1;1;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;1;-9;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;7479;701;793;;20.03.2020 00:22;1;0;2;2;18;4;0.19;0
276;;;base;interview;05.03.2020 11:51;1;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;2;1;2;2;1;1;1;1;3;1;1;1;1;2;1;1;2;1;1;2;1;1;-9;;B_Apr_Oreg_176;2;17.04.2019;5;;13;3;2;1;1;1;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;5;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Oreg_131;1;-9;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;144;560;704;;20.03.2020 00:23;1;0;2;2;14;1;0.55;0
277;;;base;interview;05.03.2020 11:57;1;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;2;1;2;2;1;1;1;1;3;1;1;1;1;2;1;1;2;1;1;1;1;1;-9;;B_Apr_Oreg_177;2;17.04.2019;5;;13;3;2;1;1;1;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;5;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1; B_Apr_Oreg_131;1;-9;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;268;365;633;;20.03.2020 00:25;1;0;2;2;14;1;0.53;0
278;;;base;interview;05.03.2020 12:05;1;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;2;1;2;2;1;1;1;1;3;1;1;1;1;2;1;1;2;1;1;1;1;1;-9;;B_Apr_Oreg_178;2;17.04.2019;5;;13;4;2;1;1;1;2;1;1;1;1;1;1;2;1;1;;2;1;1;1;1;1;2;1;1;1;1;1;1;1;;5;1;1;1;1;1;2;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1; B_Apr_Oreg_131;1;-9;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;148;783;931;;20.03.2020 00:27;1;0;2;2;14;1;0.48;0
279;;;base;interview;05.03.2020 12:16;1;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;2;1;2;2;1;1;1;1;3;1;1;1;1;2;1;1;2;1;1;1;1;1;-9;;B_Apr_Oreg_179;2;17.04.2019;5;;13;3;2;1;1;1;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;6;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1; B_Apr_Oreg_131;1;-9;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;0;1;1;1;1;471;372;843;;23.06.2020 13:30;1;0;2;2;14;1;0.45;0
280;;;base;interview;05.03.2020 12:29;2;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;2;1;2;1;1;2;1;3;1;1;2;1;1;1;1;1;2;2;2;1;1;-9;;B_Apr_Oreg_180;2;17.04.2019;9;;14;5;2;1;1;1;1;1;2;1;2;2;1;1;1;2;Depression;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;6;1;2;1;1;2;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;2;1;0;1;1;1;1;1;1;2;1;2;1;2;2;1;-9;1;-9;1;1;;;;;;382;954;1336;;20.03.2020 00:31;1;0;2;2;18;4;0.26;0
281;;;base;interview;05.03.2020 12:38;1;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;2;1;2;2;1;1;1;1;3;2;1;1;1;2;1;1;2;1;1;1;1;1;-9;;B_Apr_Wash_65;2;17.04.2019;5;;13;3;2;1;1;1;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;6;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;1160;432;524;;20.03.2020 14:52;1;0;2;2;16;2;0.34;0
282;;;base;interview;05.03.2020 12:42;-9;1;2;1;1;2;2;2;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;2;1;1;2;1;1;1;1;2;2;1;1;2;-9;;B_Apr_Wash_66;2;17.04.2019;9;;14;5;2;2;1;1;1;1;1;1;2;1;2;1;2;1;;1;1;1;2;1;1;1;1;1;1;1;1;1;1;;6;2;1;1;2;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;2;0;1;1;1;1;1;1;1;1;1;1;2;2;1;-9;1;-9;1;1;;;;;;316;4414;578;;20.03.2020 14:55;1;0;2;2;19;3;0.18;0
283;;;base;interview;05.03.2020 12:54;1;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;2;1;2;2;1;1;1;1;3;1;1;1;1;2;1;1;2;1;1;2;1;1;-9;;B_Apr_Oreg_181;2;18.04.2019;5;;13;5;2;1;2;1;2;1;1;1;2;1;1;2;1;1;;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;4;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Oreg_176 ;1;-9;1;1;1;1;1;2;1;1;1;2;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;537;391;928;;20.03.2020 15:03;1;0;2;2;14;1;0.42;0
284;;;base;interview;05.03.2020 13:00;-9;1;2;1;1;2;2;2;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;2;1;1;2;1;1;1;1;2;2;1;1;2;-9;;B_Apr_Wash_67;2;18.04.2019;9;;14;4;2;2;1;1;1;1;1;1;2;1;1;1;2;1;;1;1;1;2;1;1;1;1;1;1;1;1;1;1;;4;2;1;1;2;1;2;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Wash_66;1;-9;1;2;0;1;1;1;1;1;1;1;1;1;1;2;2;1;-9;1;-9;1;1;;;;;;267;443;710;;20.03.2020 15:06;1;0;2;2;17;2;0.47;0
285;;;base;interview;05.03.2020 14:09;2;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;2;1;3;1;1;2;1;1;1;1;2;2;2;2;2;1;-9;;B_Apr_Oreg_182;2;18.04.2019;14;;13;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;6;1;1;1;1;2;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Oreg_180;1;-9;2;1;0;1;1;1;1;1;1;2;1;2;1;2;2;1;-9;1;-9;1;1;;;;;;842;522;614;;20.03.2020 15:10;1;0;2;2;17;3;0.31;0
286;;;base;interview;05.03.2020 14:25;-9;0;1;1;1;0;1;1;1;1;1;1;1;2;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;1;1;1;2;-9;;B_Apr_Oreg_183;2;19.04.2019;11;;14;3;2;1;1;1;1;1;1;1;2;1;1;2;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;7;1;1;1;1;1;2;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;97;2991;359;;20.03.2020 15:11;1;0;2;2;22;5;0.52;0
287;;;base;interview;05.03.2020 15:15;-9;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;2;1;3;1;1;1;1;1;2;1;1;2;1;2;1;1;-9;;B_Apr_Oreg_184;2;19.04.2019;14;;13;3;2;1;1;1;1;1;1;1;1;2;1;1;1;2;Depression;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;2;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Oreg_180, B_Apr_Oreg_9;1;-9;2;2;0;1;1;1;1;1;1;2;1;1;1;2;2;1;-9;1;-9;1;1;;;;;;178;361;539;;20.03.2020 15:13;1;0;2;2;18;3;0.62;0
288;;;base;interview;05.03.2020 15:20;-9;2;2;2;1;2;2;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;1;1;1;1;4;2;1;1;1;2;1;1;1;1;1;1;1;1;-9;;B_Apr_Wash_68;2;19.04.2019;5;;13;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;1;1;1;1;2;1;1;1;;2;1;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;134;306;440;;20.03.2020 15:14;1;0;2;2;17;3;0.77;0
289;;;base;interview;05.03.2020 15:26;-9;1;2;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_185;2;19.04.2019;14;;13;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;4;1;1;1;1;1;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;1643;242;334;;20.03.2020 15:16;1;0;2;2;20;4;0.57;2
290;;;base;interview;05.03.2020 23:48;-9;0;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;;1;1;1;2;1;1;2;1;2;1;4;2;1;1;2;1;1;1;1;1;1;2;1;2;-9;;B_Apr_Wash_69;2;19.04.2019;9;;14;3;2;1;1;1;1;1;2;1;2;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;2;1;1;2;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;;1;-9;2;1;0;1;1;1;1;1;1;1;1;1;1;2;2;1;-9;1;-9;1;1;;;;;;381;431;812;;20.03.2020 15:17;1;0;2;2;19;4;0.42;0
291;;;base;interview;05.03.2020 23:58;-9;0;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;2;2;1;1;1;3;2;1;1;1;1;2;1;2;1;1;2;1;2;-9;;B_Apr_Wash_70;2;19.04.2019;10;;14;6;2;2;2;2;1;1;1;1;1;1;2;1;1;2;Social media;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;;1;-9;1;2;0;1;1;1;1;1;1;1;1;1;1;1;2;1;-9;1;-9;1;1;;;;;;53;489;542;;20.03.2020 15:22;1;0;2;2;20;5;Jän.14;18
293;;;base;interview;08.03.2020 12:22;-9;0;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;2;1;1;1;1;1;4;2;1;1;2;1;1;1;1;2;2;1;1;1;-9;;B_Apr_Wash_71;2;19.04.2019;9;;14;4;1;1;2;1;2;1;1;1;2;1;1;1;1;1;;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Wash_60;1;-9;1;2;1;2;1;1;1;1;1;1;1;1;1;2;2;1;-9;1;1;1;1;0;1;1;1;1;312;524;836;;07.07.2020 15:26;1;0;2;2;17;3;0.4;0
295;;;base;interview;08.03.2020 12:35;-9;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;1;1;1;1;1;-9;-9;-9;-9;-9;-9;-9;;B_Apr_Wash_72;1;;-9;;-9;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;-9;-9;-9;-9;-9;-9;-9;-9;0;1;1;1;1;1;1;1;1;1;1;1;-9;-9;0;1;1;-9;;-9;-9;-9;-9;0;1;1;1;1;1;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;76;9;85;;08.03.2020 12:36;1;0;2;2;97;96;02.Nov;255
296;;;base;interview;08.03.2020 12:38;-9;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;2;1;1;1;2;2;1;2;-9;;B_Apr_Wash_73;2;19.04.2019;10;;14;4;2;2;1;1;1;1;1;1;2;1;2;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;6;1;2;1;1;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;B_Apr_Wash_70;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;124;287;411;;20.03.2020 15:43;1;0;2;2;20;5;0.83;0
297;;;base;interview;08.03.2020 12:44;-9;0;1;1;1;0;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;4;2;1;1;1;2;1;1;1;1;1;1;1;2;-9;;B_Apr_Wash_74;2;20.04.2019;14;;14;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;3;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;1;1;;1;-9;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;234;201;435;;11.03.2020 09:40;1;0;2;2;22;5;0.85;8
298;;;base;interview;08.03.2020 12:51;-9;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;1;1;1;1;1;-9;-9;-9;-9;-9;-9;-9;;B_Apr_Wash_75;1;;-9;;-9;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;-9;-9;-9;-9;-9;-9;-9;-9;0;1;1;1;1;1;1;1;1;1;1;1;-9;-9;0;1;1;-9;;-9;-9;-9;-9;0;1;1;1;1;1;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;54;85;139;;08.03.2020 12:53;1;0;2;2;97;96;Feb.35;70
299;;;base;interview;08.03.2020 12:53;-9;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;2;2;1;1;1;1;4;1;1;1;1;2;1;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_186;2;20.04.2019;5;;13;3;2;1;1;1;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;2;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Oreg_175;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;243;283;526;;20.03.2020 15:44;1;0;2;2;17;2;0.65;0
301;;;base;interview;08.03.2020 13:01;-9;0;1;1;1;0;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;4;2;1;1;1;2;1;1;1;1;1;1;1;2;-9;;B_Apr_Wash_76;2;20.04.2019;14;;14;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;1;1;B_Apr_Wash_74;1;-9;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;130;152;282;;11.03.2020 09:42;1;0;2;2;20;5;Jän.22;18
302;;;base;interview;08.03.2020 13:04;-9;0;1;1;1;0;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;4;1;1;1;1;2;1;1;1;1;1;1;1;2;-9;;B_Apr_Oreg_187;2;20.04.2019;11;;14;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;2;1;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;287;460;747;;20.03.2020 15:44;1;0;2;2;22;5;0.45;0
303;;;base;interview;08.03.2020 13:15;-9;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;2;Drug addicts - heroin on therapy in prisons;1;1;1;1;2;2;2;1;2;1;4;2;1;1;1;2;1;1;2;1;1;1;1;1;-9;;B_Apr_Wash_77;2;20.04.2019;1;;13;3;2;1;1;1;1;1;1;1;1;1;1;2;1;2;Addiction treatment in prison;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;2;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;146;1354;1500;;20.03.2020 15:46;1;0;2;2;15;2;0.41;0
304;;;base;interview;08.03.2020 13:35;-9;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;;1;1;1;2;1;1;2;1;2;1;4;1;1;1;1;2;1;1;2;1;1;1;1;2;-9;;B_Apr_Oreg_188;2;20.04.2019;1;;14;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;4;1;2;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;1;1;;1;-9;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;-9;2;1;1;1;;;;;;63;3377;325;;20.03.2020 15:46;1;0;2;2;16;2;0.77;12
306;;;base;interview;08.03.2020 14:39;-9;1;1;2;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;2;2;1;1;1;1;4;1;1;1;1;2;1;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_189;2;20.04.2019;5;;13;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;5;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Oreg_175;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;257;384;641;;20.03.2020 15:49;1;0;2;2;17;2;0.52;0
307;;;base;interview;08.03.2020 14:45;-9;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;1;1;1;1;1;-9;-9;-9;-9;-9;-9;-9;;B_Apr_Wash_79;1;;-9;;-9;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;-9;-9;-9;-9;-9;-9;-9;-9;0;1;1;1;1;1;1;1;1;1;1;1;-9;-9;0;1;1;-9;;-9;-9;-9;-9;0;1;1;1;1;1;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;30;11;41;;08.03.2020 14:46;1;0;2;2;97;96;3;302
308;;;base;interview;08.03.2020 14:51;-9;1;2;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;3;2;1;1;1;1;2;1;1;1;2;1;1;1;-9;;B_Apr_Wash_80;2;20.04.2019;15;;14;4;2;1;1;1;1;1;1;1;2;2;1;1;1;1;;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;1;1;1;2;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;2;1;0;1;1;1;1;1;1;1;1;1;1;2;2;1;-9;1;-9;1;1;;;;;;100;570;670;;11.03.2020 10:36;1;0;2;2;20;4;0.69;0
309;;;base;interview;08.03.2020 14:59;-9;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;4;1;1;2;1;1;1;1;2;1;1;1;1;1;-9;;B_Apr_Oreg_190;2;22.04.2019;6;;14;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;1;1;1;1;1;4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;0;1;1;1;1;62;1446;1508;;22.06.2020 13:06;1;0;2;2;22;5;0.83;12
310;;;base;interview;08.03.2020 16:07;-9;0;1;1;1;2;2;2;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;2;1;1;1;-9;;B_Apr_Oreg_191;2;22.04.2019;9;;14;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;1;1;1;1;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;2;2;1;-9;1;-9;1;1;;;;;;101;556;657;;20.03.2020 15:53;1;0;2;2;22;5;0.69;0
311;;;base;interview;08.03.2020 16:13;-9;1;1;2;1;1;1;2;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;4;2;1;1;2;1;1;1;2;2;1;1;1;1;-9;;B_Apr_Wash_81;2;22.04.2019;15;;14;3;1;1;2;1;1;1;1;1;1;1;1;1;1;2;Depression and treatment, risk factor for suicidal behaviour;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;6;1;1;1;1;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;1;1;1;;;;;;124;2250;386;;20.03.2020 15:54;1;0;2;2;17;3;0.43;0
313;;;base;interview;08.03.2020 16:38;-9;1;1;2;1;0;1;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;4;2;0;1;1;1;1;1;2;2;1;2;1;1;-9;;B_Apr_Wash_83;2;22.04.2019;13;Depression therapy;13;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;Depression therapy;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;6;1;1;1;1;1;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Wash_81;1;-9;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;-9;1;1;1;1;0;1;1;1;1;237;1288;1525;;18.06.2020 15:11;1;0;2;2;18;4;0.3;0
314;;;base;interview;08.03.2020 16:48;-9;0;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_192;2;23.04.2019;9;;14;2;1;1;1;1;1;1;1;1;2;1;1;2;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;7;1;1;1;1;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Oreg_93;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;104;239;343;;20.03.2020 15:57;1;0;2;2;20;4;0.99;2
315;;;base;interview;08.03.2020 16:56;2;2;2;2;1;1;2;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;2;2;2;1;2;1;4;1;1;1;1;2;1;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_193;2;23.04.2019;12;;13;4;2;2;1;1;1;1;1;1;1;1;1;1;2;2;Bullying;1;1;2;1;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;2;1;2;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;2;2;0;1;1;1;1;1;1;2;1;1;1;1;2;1;-9;1;1;1;1;;;;;;130;430;560;;20.03.2020 15:59;1;0;2;2;14;2;0.66;0
